disease,symptoms
diabetes and hypertension,"dizziness, headache, polyuria, polyphagia"
congestive dermatitis,"chronic erythema, mild itching, slight discomfort on walking, peeling skin"
generalized anxiety disorder (gad),"anxiety, tinnitus, hand-wringing, nausea"
pleural disease,"difficulty breathing, chest tightness, decreased appetite, night sweats"
poisoning,"pain, crying, muteness, withdrawal, blurred vision, rapid heartbeat, difficulty breathing"
uterine infertility,"increased leucorrhea, back pain, reproductive age, urinary incontinence, vaginal discomfort"
henoch-schönlein purpura nephritis,"skin purpura, child, fatigue, fever, loss of appetite"
otomycosis,"ear discharge, hearing impairment, sensation of blockage in the external auditory canal, mild ear pain"
congenital choledochal cyst,"epigastric pain, child, nausea, vomiting, fever"
craniosynostosis,"brachycephaly, child, delayed closure of the anterior fontanelle, underdeveloped paranasal sinuses, recurrent upper respiratory infections"
firearm-related cranial injury,"bleeding, vomiting, slurred speech, weakness on one side of the body, seizures"
hemoglobin m disease,"anemia, cyanosis, weakness, rapid heart rate, brittle nails"
hypoglycemia in the elderly,"cold sweat, pale complexion, anxiety, concentration problems, shaking"
pediatric mixed connective tissue disease (mctd),"raynaud's phenomenon, joint pain, fatigue, swelling and redness of the skin on the back of the hands, child, capillary dilation, gastrointestinal symptoms, kidney damage"
breast augmentation/reconstruction,"inverted nipples, breast sagging, flat breasts, nipple reduction surgery, female, emotional distress, difficulty in breast feeding, increased self-consciousness"
gastric dysrhythmia syndrome,"intermittent episodes of nausea, belching, loss of appetite, mild abdominal discomfort"
infantile aneurysmal bone cyst,"localized pain and swelling, child, increased skin temperature, local tenderness, palpable mass"
ocular flutter and ocular myoclonus syndrome,"ocular flutter, tremulous rigidity, involuntary eye movement inhibition, physiological tremors"
bartholin's gland inflammation,"difficulty in urination, vulvar swelling, female, swollen inguinal lymph nodes, vulvar tenderness"
enterobiasis,"abdominal pain, vomiting, child, constipation, fever"
pityriasis rosea,"pink patches, itching, flaking skin, rash spreading to the arms and thighs, swollen lymph nodes, mild fever, body aches"
subacute thyroiditis in children,"paralysis, weakness, child, insomnia, intolerance to heat"
epileptic seizures and syndromes,"generalized tonic-clonic seizures, complex partial seizures, absence seizures, headaches, fatigue, mood swings, brief blackouts"
prostatic cyst,"difficulty in urinating, blood in semen, pain during ejaculation, lower back pain"
birdshot chorioretinopathy,"visual impairment, color vision abnormalities, congestion, granuloma"
azoospermia,"nocturnal emission, male, testicular swelling, pain in lower abdomen, erectile dysfunction"
frictional lichenoid dermatitis,"scales, papules, dermatitis, itching, bleeding when scratched, thickened skin, painful skin"
sinus arrest,"sinus arrest, fatigue, palpitations, shortness of breath"
constrictive pericarditis,"hepatomegaly, constrictive pericarditis, fatigue, fever"
organophosphate poisoning,"nausea and vomiting, drowsiness, bradycardia, cyanosis, cold extremities, hyperhidrosis, lower back pain"
paralytic strabismus,"diplopia, unsteady gait, slight nausea, mild vertigo"
oral care,"halitosis, bleeding gums, sensitive teeth, difficulty chewing"
anterior cranial fossa tumor,"headache, dizziness, visual field defects, slurred speech, confusion, unexplained weight loss, weakness in limbs"
ventricular parasystole and ventricular parasystolic tachycardia,"tachycardia, panic, accelerated atrial ectopic rhythm, shortness of breath"
hypertensive intracerebral hemorrhage,"vertigo, blurred vision, ringing in the ears, loss of balance"
electrical burn,"swelling and pain at the wound site, skin rupture, heart arrhythmia, difficulty swallowing"
hyperkalemia in the elderly,"sensory disturbances, generalized weakness in limbs, irregular heartbeat, elderly, fatigue, muscle cramps, confusion"
acute monocytic leukemia,"bleeding, joint pain, night sweats, headaches, dizziness"
juvenile ankylosing spondylitis,"recurrent pain in the lower back, buttocks pain, child, sensitive skin, difficulty bending over"
ruptured ovarian tumor,"abdominal pain, vaginal bleeding, dizziness, bloating, unexplained weight gain, constipation, changes in bladder habits"
herpes simplex virus encephalitis (hsve),"nausea, seizures, muscle weakness, personality changes"
retinal artery occlusion,"visual impairment, sluggish light reaction, eye redness, floaters"
idiopathic pulmonary hemosiderosis in children,"cough, anemia, hemoptysis, dyspnea, child, chest pain, somnolence, abdominal pain"
idiopathic arthralgia syndrome,"joint pain, fatigue, mild fever, decreased range of motion"
appendiceal adenocarcinoma,"cachexia, occasional fever, night sweats, mild nausea"
peritoneal tumors,"nodules, pain, cachexia, anemia"
pediatric tuberculous pleurisy,"fever, child, fatigue, weight loss, loss of appetite"
periporitis and multiple sweat gland abscesses,"nodules, fever, local redness, tenderness"
damp-heat in gallbladder,"pain in the right hypochondrium or both sides, jaundice, bitter taste in the mouth, irritability, short yellowish or reddish urine, alternating chills and fever, nausea and vomiting"
malignant mixed mesodermal tumor of the ovary,"abdominal pain, abnormal vaginal bleeding, abdominal distension, stomach discomfort, female, fatigue, weight loss, nausea"
pulmonary hyalohyphomycosis,"difficulty breathing, blood streak in sputum, chest tightness, fatigue"
herpetic pharyngotonsillitis,"small oral vesicles, oral ulcers, restlessness, limb soreness"
sexual desire injury,"kidney qi deficiency, insufficient yin and blood, cold limbs, weakness of the knees and legs, poor memory"
meningococcal pneumonia,"chest pain, chills, mild cough, sore throat, general malaise"
mitral stenosis,"cough, fatigue, palpitations, hoarseness"
wrist tuberculosis,"bone pain, fever, skin pain, night sweats, unintentional weight loss, decreased range of motion, fatigue"
parasitic disease,"weight loss, mild indigestion, occasional chills, slight memory decline"
cardiac injury,"massive hemorrhage, cardiac arrest, respiratory arrest, weakness, rapid or irregular heartbeat, cough, wheezing"
infratemporal space infection,"swelling involving the masseter region, swelling in the temporal area, swelling involving the cheek, swelling in the zygomatic regions, difficulty in chewing, fever, lymphadenopathy, discoloration of the overlying skin"
geriatric shock,"shock, sudden cardiac arrest, coma, abnormal breath, elderly, anxiety, pale skin, weak pulse"
drug-induced hemolytic anemia in children,"fatigue, pallor, child, increased heart rate, headache, splenomegaly"
periodic paralysis,"paralysis, hypokalemia, abnormal sweating, generalized soreness"
acquired circulating anticoagulant excess syndrome,"hemoptysis, bleeding tendency, petechiae, fever, weight loss"
skin tag,"skin lesion, mild bleeding when snagged, pain in the affected area if twisted, slight swelling around the base"
western equine encephalitis,"psychiatric disorders, headache, fever, vomiting"
facioscapulohumeral muscular dystrophy in children,"symmetrical muscle weakness, mild facial weakness, hearing loss, difficulty raising arms above the head"
noncompaction of the myocardium,"difficulty breathing, swollen legs, fatigue, dizziness"
plantar warts,"the surface often has scattered small black dots, surrounding thickened keratin rim, difficulty walking, increased sweating in the affected area"
neonatal clavicle fracture,"inability to move the upper limb, crying, deformity felt upon touching the clavicle, newborn, abnormal arm position, irritability when changing clothes, decreased grip strength on the affected side"
h7n9 avian influenza,"fever, cough, difficulty breathing, severe pneumonia, body temperature above 39 degrees celsius, hemoptysis, muscle soreness"
hyoid bone fracture,"severe stabbing pain in the anterior neck, mild bruising, hoarseness, slight difficulty breathing"
b virus infection,"muscle soreness, sore throat, cough, headache, swollen lymph nodes"
glass fiber induced dermatitis,"inflammatory papules, edematous erythema, burning sensation, localized warmth, slight blistering"
uterine rupture,"lower abdominal pain, restlessness, weak and rapid pulse, hypotension"
hereditary nephritis,"hematuria, hearing impairment, protein in urine, nausea"
cardiac anxiety,"chest tightness, fatigue, dizziness, excessive sweating"
uterine inversion,"shock, infection, pain during childbirth, bleeding, a sense of local compression"
fibrolamellar hepatocellular carcinoma,"fatigue, weight loss, abdominal distension, increased bilirubin levels"
primary brainstem injury,"coma, loss of reflexes, flaccid paralysis of limbs, positive pathological reflex"
facial blushing and erythrophobia,"fear, skin itching, amenorrhea, obsessive-compulsive neurosis"
arthralgia syndrome,"pain that does not have a fixed location, abdominal distension, back pain, difficulty in defecation, pain in the shoulders, occasional dizziness, pulse that is deep and slow"
orbital hematoma,"proptosis, mild headache, eyelid swelling, blurred vision"
neonatal edema,"subcutaneous edema, hypothermia, lethargy, feeding difficulties, newborn, reduced crying, slow suckling, abdominal distention"
paint dermatitis,"skin erythema, edema, pruritus, constipation, palpitations"
multiple intracranial hematoma,"persistent coma, consciousness disorder, abnormal breathing, weakness in limbs"
dermatomyositis without myopathy,"violaceous rash, low-grade fever, weight loss, malaise"
tonsilloliths,"throat discomfort, bad breath, a metallic taste in the mouth, swollen tonsils"
giant cell tumor of the jaw,"jaw swelling, pain on chewing, loose teeth, numbness in the jaw"
anal canal cancer,"increased frequency of defecation, sense of incomplete evacuation, abdominal pain, rectal bleeding, anemia"
chorioretinopathy,"eye fatigue, blurred vision, distorted vision, difficulty focusing, sensitivity to light"
biliary tract disease,"abdominal pain, fever, dark urine, pale-colored stools"
esophageal corrosive burn,"dysphagia, gastrointestinal stenosis, esophageal ulcers, pain during swallowing"
female urethral fistula,"urinary incontinence, frequent urination, pain during urination, pelvic pain"
mesenteric ischemia,"abdominal pain, abdominal distension, nausea and vomiting, upper abdominal tenderness, change in bowel habits, high white blood cell count, lactic acidosis"
bladder leiomyosarcoma,"difficulty urinating, lower back pain, fatigue, nocturia"
linea alba hernia,"upper abdominal pain, nausea, heartburn, burping"
tympanic membrane trauma,"ear pain, otorrhea, tinnitus, blood scab"
inguinal granuloma,"ulceration and granulation, night sweats, fatigue, loss of appetite"
primary segmental infarction of the omentum,"abdominal pain, nausea, vomiting, fever"
infectious abdominal aortic aneurysm,"bloody pleural effusion, aortic sinus rupture, chest pain, shortness of breath"
congenital pulmonary cystic disease,"shortness of breath, fever, cough, chest tightness"
"skin disorder caused by petroleum, coal tar, and their distillates","mucosal damage, diarrhea, nausea, tearing, skin irritation, shortness of breath, coughing, fever"
pediatric chlamydial pneumonia,"fever, child, nasal congestion, mild cough, sneezing"
menstrual aquorrhea,"vaginal discharge of clear water, heavy menstrual flow, edema during menstruation, reproductive age, weight gain, anxiety, insomnia, decreased libido"
congenital hydrocephalus,"convulsions, nausea and vomiting, newborn, hydrocephalus, developmental disorders of the brain, enlargement of the skull"
primary myelofibrosis,"fatigue, weight loss, increased susceptibility to infections, pallor, bleeding gums"
heel spur syndrome,"pain in the heel area, mild swelling around the heel, stiffness in the heel in the morning, tingling or burning sensation near the affected area"
malignant teratoma of the pericardium,"chest pain, sweating, nausea, increased heart rate"
phlegm-fire disturbing the heart,"mental disorder, mania, delirious speech, foul breath, feeling of heat, dizziness, palpitations"
sciatic hernia,"sciatica, abdominal discomfort, mechanical intestinal obstruction, pressure pain in the sciatic foramen area, vomiting, weight loss, increased frequency of urination"
orbital pseudotumor,"proptosis, pain, blurred vision, nausea, lacrimation"
cervicofacial lymphangioma,"macroglossia, child, speech difficulties, snoring, drooling"
rotavirus enteritis,"vomiting, child, headache, abdominal pain, dizziness"
trace element disorder,"cramps, poor sleep, muscle weakness, anxiety, dizziness"
progeria,"fatigue, child, growth failure, hair loss, skin aging"
dystonia syndrome,"spasmodic torticollis, anxiety, fatigue, sleep disturbances"
superficial punctate keratitis,"photophobia, eye pain, eyelid spasm, tearing"
tarsal tunnel syndrome,"pain on the outer aspect of the ankle, burning sensations on the sole of the foot, numbness on the half-toe, increased pain after activities, a sensation of the foot being tight or swollen, difficulty flexing the foot"
bacterial prostatitis,"frequent urination, fatigue, perineal discomfort, difficulty urinating"
kidney deficiency vertigo,"dizziness, tinnitus, soreness and weakness of the waist and knees, hearing loss, dry mouth, pale complexion, cold feeling in the limbs"
cutaneous and bone marrow fibrosis,"red or purple, slightly elevated papules, nodules, itching, general weakness"
muscle atrophy syndrome,"bitter taste in mouth, muscle cramp pain, lack of vitality and blood, male sexual dysfunction, irritability, difficulty concentrating, shortness of breath"
congenital x-linked agammaglobulinemia,"recurrent bacterial infections, associated arthritis, fever, fatigue, child, digestive issues, chronic diarrhea, weight loss"
cervicofacial actinomycosis,"pus-filled lesions, necrotic pus, skin diffuse redness and swelling, fever, dizziness, morning frontal headache, confusion"
taiyang disease,"headache, fever, sweating, aversion to wind, irritability, difficulty sleeping, nausea"
senile vaginitis,"vulvar itching, increased vaginal discharge, postmenopausal, urinary incontinence, frequency"
subacute sclerosing panencephalitis (sspe),"cognitive decline, child, irritability, sleep disturbance, memory impairment"
pediatric multiple tubular dysfunction syndrome,"weakness, child, muscle cramps, irregular heartbeat, polyuria"
mammary duct ectasia,"redness, swelling, fever, and tenderness in the areolar area, nipple discharge, enlarged lymph nodes under the armpit with tenderness, female, chronic fatigue, weight loss, difficulty in nipple retraction"
buccal fat pad excision,"asymmetry in the face, discomfort while chewing, slight speech alteration, temporary salivation change"
intracranial tumor,"abdominal pain, increased intracranial pressure, recurrent headaches, diplopia, functional headaches, secondary optic atrophy, cranial hypertension"
acute and subacute intracerebral hematoma,"headache, nausea, vomiting, slight dizziness"
elderly spinal cord compression,"muscular asthenia, elderly, impaired coordination, difficulty with fine motor skills, mild back pain"
gastroparesis,"delayed gastric emptying, female, nausea, early satiety, weight loss"
orbital rhabdomyosarcoma,"proptosis, orbital mass, child, photophobia, tearing, redness of the eye"
pediatric acute pancreatitis,"fever, child, nausea, upper abdominal pain, vomiting"
liver intervention,"abdominal pain, easy bruising, dark urine, weight loss"
recurrent cutaneous necrotizing eosinophilic vasculitis,"hemorrhagic papules, alopecia totalis, pharyngitis, glossitis"
fanconi syndrome,"growth retardation, bone pain, rickets, hypophosphatemia"
pediatric renal aminoaciduria,"short stature, developmental delay in intelligence, recurrent renal colic, hematuria, child, headaches, high blood pressure, swelling of hands and feet"
poliomyelitis (infantile paralysis),"fever, muscle pain, coughing, diarrhea"
infective endocarditis,"chills and fever, breathlessness, weight loss, blood in urine"
gender dysphoria,"depression, irritability, mania, suicidal thoughts, extreme mood swings, difficulties in maintaining relationships, substance abuse"
musculoskeletal laxity,"muscles and bones are weak, frequent injuries, hyperflexibility of joints, difficulty standing for long periods"
vulvar malignant granulosa cell tumor,"painless firm nodules, abnormal vaginal bleeding, pelvic pain, urinary frequency"
vulvar yolk sac tumor,"skin ulceration, cellulitis-like changes, child, anemia, pelvic discomfort"
malignant tumor of the spermatic cord,"painless scrotal mass, feeling of heaviness in the scrotum, dull ache in the lower abdomen or groin, sensation of dragging in the scrotum"
diaper rash,"skin redness, erythematous rash, ulceration, pruritus, infant, infantile crying and restlessness, irritability, baby's sleep disturbance"
localized scleroderma,"microstomia, child, osteoporosis, dysphagia, pigmentary changes"
breast cystic hyperplasia,"pain, breast skin redness, swelling in the nearby underarm lymph nodes, slight fever"
coxsackievirus infection,"fever, sore throat, vesicles, rhinorrhea, dysphagia, cough, malaise"
juvenile melanoma,"crusting, child, itchiness, bleeding, change in color"
vaginal metastatic tumors,"vaginal bleeding, increased vaginal discharge, pelvic pain, leg swelling"
oral hairy leukoplakia,"white patches on the side of the tongue, altered taste sensation, feeling of something stuck in the throat, mild fever"
keshan disease,"cardiac failure, right heart dysfunction, dizziness, upper abdominal discomfort"
chronic suppurative otitis media,"intermittent otorrhea, tinnitus, itchiness in the ear, muffled hearing"
esophageal crohn's disease,"dysphagia, chest pain, anemia, sore throat"
ant bite,"localized itching, slight numbness, tingling, warmth at the site"
pine processionary caterpillar arthritis,"flushed skin, fever, enlarged lymph nodes, limb swelling"
neurological manifestations of acquired immunodeficiency syndrome (aids),"hyperreflexia, sensory impairments, confusion, memory loss, depression"
pregnancy-related liver hematoma and rupture,"upper right abdominal pain, nausea, vomiting, fatigue"
nutritional metabolic disorder,"progressive emaciation, abnormal appetite, irritability, slow wound healing, blurred vision"
pediatric hepatic encephalopathy,"decreased appetite, developmental delay, child, confusion, sleep disturbances, weakness"
dacryocystitis,"epiphora, redness of the eye, swelling near the nose, blurred vision"
gingival epulis,"localized swelling in the bicuspid area, slight discomfort when speaking, bleeding during brushing, tenderness upon touch"
anorectal atresia,"abdominal distention, newborn, bilious vomiting, irritability, lethargy"
cecal granuloma,"abdominal pain, fatigue, weight loss, low-grade fever"
radiation pneumonitis,"dyspnea, palpitations, orthopnea, rales"
amniocentesis,"positive down syndrome screening, induced labor, abnormal ultrasound findings, female, advanced maternal age, previous child with chromosomal abnormality, high risk for pre-eclampsia"
pediatric glomerular disease,"hematuria, child, pale skin, fever, rash"
porphyria cutanea tarda,"increased skin fragility, liver dysfunction, urine discoloration, abdominal pain"
lymphocytic leukemia,"fever, progressive anemia, significant bleeding tendencies, loss of appetite, bone pain, night sweats, swollen lymph nodes"
glycogen storage disease type i (gsd i) in children,"excessive lactate accumulation, coagulation dysfunction, child, ketotic acidosis, symmetric muscle weakness"
senile cardiac amyloidosis,"dyspnea, elderly, fatigue, weakness, dizziness"
chest wall tuberculosis,"abscess, infectious fever, emaciation, fatigue, night sweats, low-grade fever, weakness"
chronic otitis externa,"itching in the ear, a feeling of ear fullness, ear discharge, reduced hearing, foul-smelling discharge, crusting on the outer ear, pain radiating to the face"
gallbladder polypoid lesions,"nausea and vomiting, abdominal pain, chills, pale stools"
shoulder joint injury,"joint swelling, ischemic necrosis, reduced pulse near the injury, pale and cool skin, crackling sensation under the skin"
choroidal malignant melanoma,"decreased visual acuity, bleeding, photopsia, change in iris color"
vascular injury,"bleeding, rapid heart rate, weak pulse, shortness of breath"
carotid sinus syndrome,"syncope, hypotension, elderly, sweating, weakness"
primary ciliary dyskinesia in children,"recurrent upper respiratory tract infections, child, cough, rhinorrhea, emaciation"
dysphagia due to vascular malformation,"difficulty swallowing, coughing while eating, regurgitation of food, weight loss"
malignant histiocytosis,"high fever, weight loss, loss of appetite, lymphadenopathy"
female genital organ trauma,"lower abdominal pain, bleeding, fever, vaginal discharge"
lichenoid candidiasis,"papules, pruritus, severe oral discomfort, swollen gums, bad breath, difficulty in speaking, loss of appetite"
sacral canalcyst,"sacrococcygeal discomfort, tingling sensation in the lower limbs, pain during sitting, intermittent sharp pains in the buttock area"
pediatric fever,"fever, cough, child, irritability, loss of appetite, sore throat"
substance-induced mental disorders,"anxiety, nausea, rapid heart rate, difficulty concentrating"
bromidrophobia,"foul sweat, nervousness, fear, self-awareness of sweat odor, shaking, palpitations, avoidance of tight clothing"
plaque psoriasis,"patchy white scales, itching, joint pain, fatigue"
lunate osteochondritis,"body pain, joint pain, crepitus with wrist movement, loss of wrist function, warmth over affected area"
coagulopathy,"heavy menstrual bleeding, subcutaneous bruising, fatigue, weakness, blood in urine"
intestinal adhesion,"abdominal pain, poor gas expulsion, constipation, weight loss"
elderly papillary muscle dysfunction and rupture,"fatigue, elderly, palpitations, cough, abnormal breath sounds"
volvulus,"abdominal pain, severe pain, vomiting, shock, constipation, acute intestinal volvulus, abdominal distension"
calyceal hydronephrosis,"back pain, hematuria, high blood pressure, swelling in hands and feet, fatigue"
celiac disease in children,"constipation, bloating, child, headaches, attention problems"
pediatric acute laryngotracheobronchitis,"barking cough, difficulty in breathing, child, restlessness, pale complexion"
staphylococcal scalded skin syndrome (ssss),"skin tenderness, malaise, child, mild fever, irritability"
non-dependence-producing substance dependence,"haggard and prematurely aged appearance, anxiety, insomnia, depression"
pseudoxanthoma elasticum (pxe),"visual impairment, joint laxity, skin lesions yellow to orange in color, poor skin elasticity"
neurogenic headache,"dull headache, nausea, blurry vision, sensitivity to light"
acute transient psychotic disorder,"headache, mild confusion, decreased concentration, anxiety"
desmoid tumor,"abdominal mass, mild abdominal pain, feeling of fullness, weight loss"
sudden sensorineural hearing loss (sshl),"unilateral hearing loss, tinnitus, headaches, increased sensitivity to certain frequencies and volumes, anxiety"
elderly uremic pneumonia,"hemoptysis, shortness of breath after activity, elderly, water accumulation in the kidneys, edema"
congenital microphthalmia,"decreased vision, nystagmus, strabismus, photophobia"
hypertensive encephalopathy,"brain swelling, coma, hypertension, headache, sudden death"
fracture of the base of the first metacarpal,"localized swelling, tenderness, limited abduction of the thumb, significant bruising, crepitus with movement, inability to oppose the thumb, severe pain when trying to grip"
sebaceous gland carcinoma of the eyelid,"yellow nodular masses, crateriform ulcers, vision changes, localized eyelid swelling, misdirected eyelashes, persistent eye infection not responding to treatment, discharge from the eye"
seminal vesicle cyst,"hemospermia, mild abdominal pain, occasional urethral discharge, feeling of incomplete bladder emptying"
lymphatic tuberculosis,"fatigue, lymph node pain, chills, loss of appetite"
shigella pneumonia,"cough, rales, chest pain, segmental or lobar opacities in the lower lobes of the lungs"
zheng jia (abdominal mass),"rapid growth of a mass in the pelvic cavity, weight loss, low-grade fever, loss of appetite"
acquired coagulation factor disorder due to severe liver disease,"internal bleeding on the skin, nausea, vomiting, abdominal pain"
scapulothoracic nerve entrapment syndrome,"back soreness, mild shoulder pain, difficulty reaching overhead, occasional tingling in the upper limb"
alkaptonuria in children,"urine turns black after consuming milk, child, joint pain, low back pain, fatigue"
acquired arteriovenous fistula (avf),"formation of a pulsatile mass at the wound site, tortuous vessel wall, shortness of breath, dizziness"
postpartum hematoma,"excessive vaginal bleeding, pallor, fatigue, hemorrhagic shock, blurred vision, rapid shallow breathing, loss of consciousness"
actinic cheilitis,"dry lips, cracking, scaling, ulceration, loss of lip border definition, increased sun sensitivity"
vaginal tightening,"odor, discomfort during intercourse, bleeding after intercourse, low self-esteem"
jaundice,"scleral icterus, hepatomegaly, abdominal pain, chills"
feng mi (constipation due to wind syndrome),"constipation, bloating, headache, fatigue"
viral pneumonia,"shortness of breath, dry throat, increased respiratory rate, sore throat"
vitreous cysticercosis,"decline in visual acuity, headache, nausea, blurry vision"
neonatal anorectal malformation,"neonatal constipation, newborn, poor feeding, swollen abdomen, lethargy"
manganese poisoning,"mental disorders, respiratory distress, weakness in the lower limbs, stomach pain"
bronchopneumonia,"high fever, difficulty breathing, cough with sputum production, vomiting, confusion, bluish coloration of the lips, rapid heart rate"
type i renal tubular acidosis,"nausea and vomiting, palpitations, anorexia, metabolic acidosis, increased phosphate excretion in the urine, shortness of breath"
generalized plane xanthoma,"papules, itchiness, joint pain, fatigue"
mitral valve insufficiency,"exercise-induced dyspnea, orthopnea, fatigue, acute left heart failure, hemoptysis, hepatomegaly, leg edema"
phenylketonuria (pku),"pale skin, slow growth, child, vomiting, hyperactivity"
dizziness,"dizziness, mild headache, fatigue, blurred vision"
wilms' tumor,"hematuria, child, abdominal pain, vomiting, hypertension"
elderly bronchial asthma,"cough, wheezing, chest tightness, orthopnea, elderly, fatigue, difficulty speaking in full sentences, swollen ankles"
pufferfish spine injury,"abdominal pain, numbness, arrhythmia, collapse, muscle cramps, difficulty breathing, blurry vision"
intractable epilepsy,"epileptic seizures, infant sweating during sleep, palpitations, fear"
progressive hemifacial atrophy,"hair loss, pupil abnormalities, organ shrinkage, abnormal sweating"
pyogenic streptococcal infection,"sore throat, fever, difficulty swallowing, swollen tonsils, white patches on tonsils"
lower lumbar instability,"weakness in the lower lumbar region, pain, fear of standing, atrophy of the lumbar muscles"
progressive supranuclear palsy,"frequent falls, fatigue, unstable gait, dysarthria"
myelopathy anemia,"malignant anemia, neonatal anemia, anemia facies, bone marrow hematopoietic cell regenerative disorder, increased red blood cell volume, increased bone density, post-hemorrhagic anemia"
periorbital hyperpigmentation,"pigmented skin lesions, sensitivity to light, fine lines under the eyes, increased tear production"
pediatric intracranial tumors,"recurrent headaches, diplopia, child, irritability, apathetic appearance"
external auditory canal papilloma,"bloody ear discharge, ear pain, decreased hearing acuity, headache, sensation of ear blockage"
short waist deformity,"the waist segment is shorter than normal, back pain, difficulty bending, reduced flexibility in the spine"
keratitis,"foreign body sensation in the affected eye, stinging, burning, visual impairment, eye redness, eyelid edema, discomfort in bright lights"
atelectasis,"dyspnea, tachycardia, chest pain, expectoration"
pseudofolliculitis barbae,"papules, pitted scars, ingrown hairs, skin infection, discharge"
chronic laryngitis,"phlegm in the throat, hoarseness, sore throat, voice changes, feeling a lump in the throat"
radial and ulnar styloid fractures,"deformity, obvious history of trauma, increased pain during night, sensitivity to cold, discoloration of the skin around the injured area"
pediatric erythroderma,"facial flushing, neck flushing, child, sore throat, conjunctival congestion, diarrhea"
post-burn acute renal failure,"azotemia, lethargy, loss of appetite, dry skin"
chronic pancreatitis in children,"malabsorption, poor growth, child, anemia, muscle wasting, vitamin deficiencies"
arcus senilis,"corneal-limbal ring, circumcorneal congestion, elderly, reduced peripheral vision, dry eyes, redness around the eye"
cervical condyloma acuminatum,"light red soft small papules, itching, burning sensation, increased vaginal discharge, foul-smelling discharge, pain during intercourse, bleeding not related to menstrual cycle"
retinal vasculopathy,"diminished vision, floaters, peripheral vision loss, eye redness"
louping-ill,"meningitis, headache, nausea, fatigue"
unilateral facet joint dislocation,"empty acetabulum, pain upon leg movement, hip instability, difficulty bearing weight on the affected side"
pediatric thrombocytopenic purpura,"bleeding, child, petechiae, mucosal bleeding, fatigue"
chronic ulcerative non-granulomatous jejunoileitis,"diarrhea, mild abdominal pain, fatigue, low-grade fever"
ocular toxoplasmosis,"strabismus, retinal edema, visual impairment, eye pain"
spermatocytic tumor,"testicular tenderness, testicular swelling pain, testicular pain, older adult, male, lump on the testicle, enlargement or tenderness of the breasts, a feeling of heaviness in the scrotum"
pregnancy complicated by thrombotic disease,"limb swelling, pale limbs, fever in pregnant women, female, sweating, chills, discoloration of the affected area"
vulvar kaposi's sarcoma,"vaginal discharge, superficial skin ulceration, lymph node enlargement, fatigue, intermittent fever"
osteolytic hemangioendothelioma,"localized dull pain, tenderness, bruising, erythema"
decalvans folliculitis,"pustules, alopecia, localized pain, scalp erythema"
intracranial metastatic tumor,"fever, weight loss, headache, blurred vision"
pediatric mediastinal compression syndrome,"chest tightness, child, shortness of breath, frequent coughing, mild fever"
keratosis,"rough skin surface, skin redness, minor bleeding, pain in the affected area"
adolescent epilepsy,"convulsions, loss of consciousness or awareness, psychic symptoms, fear"
noncompaction of the ventricular myocardium,"arrhythmias, microthrombus formation, nystagmus, systemic circulation congestion"
congenital laryngeal web,"difficulty breathing, choking, hoarse voice, cyanosis, child, recurrent pneumonia, failure to thrive, fatigue"
non-st segment elevation myocardial infarction (nstemi),"angina, fatigue, dizziness, anxiety"
nutritional megaloblastic anemia,"weakness, child, sparse and yellowish hair, waxy pallor, hepatosplenomegaly"
acute pancreatitis,"abdominal pain, nausea and vomiting, fever, band-like sensation in the upper abdomen and back"
spinal osteophyte,"impaired motor function, disc herniation, loss of bladder control, sciatica, pain that worsens at night"
chloroma,"swelling of the eyelids with a pale green discoloration, enlarged lymph nodes under the jaw, green pigmentation on the surface of the mass, frequently enlarged lymph nodes in front of the ears, night sweats, bleeding gums, frequent infections"
congenital megacolon,"neonatal constipation, colonic obstruction, newborn, decreased appetite, enlarged colon"
thyroid adenoma,"dyspnea, hyperthyroidism, palpitations, anxiety"
sperm abnormality,"infertility, decreased libido, ejaculatory issues, testicular pain"
purulent meningitis,"abnormal pupil, decreased hearing, infectious fever, general malaise"
mediastinal abscess,"purulent fluid on aspiration, local redness, swelling in the neck area, hoarseness"
drug allergy,"skin itching, palpitations, headache, dizziness, fatigue"
vocal cord nodules,"hoarseness, cough, throat clearing, fatigue"
non-firearm-related open head injuries,"speech disorder, memory loss, dizziness, nausea"
cerebral arteriosclerosis with psychiatric disorders,"memory impairment, fatigue, headache, dizziness"
"congenital absence, atresia, and stenosis of the duodenum","emaciation, newborn, failure to thrive, bilious vomiting, jaundice"
uterine polyps,"increased menstrual flow, pelvic pain, irregular menstrual cycle, infertility"
seborrheic dermatitis of vulvar skin,"appearance of dark red patches covered with greasy scales, burning sensation, skin flaking, slight pain on touching"
herpes zoster keratitis,"tearing, corneal ulcer, eye redness, swollen eyelids"
pulmonary alveolar microlithiasis,"shortness of breath, cough, expectoration, rales"
apical hypertrophic cardiomyopathy,"fatigue, abnormal heart sounds, palpitations, chest pain"
neonatal group b streptococcus infection,"neonatal cyanosis, newborn, lethargy, poor feeding, temperature instability"
corneal dystrophy,"diplopia, eye redness, blurred vision, headache"
peptic ulcer perforation,"vomiting with blood, belching, mild jaundice, sweating, anxiety"
reflux cholangitis,"high fever, mild jaundice, fatigue, dark urine"
progressive lipodystrophy,"upper body obese type, lower body emaciated type, hypertension, polyuria, polydipsia"
femoral condyle fracture,"swelling in the knee, difficulty walking, bruising around the knee, inability to straighten the leg completely"
